range,row,vigor_2020,anthracnose_2020,anthracnose_2021,leaf_hgt_2020
4,50,5,1.875,1.625,149.125
4,51,5,2,3.625,120.375
4,52,5,2,2.125,169.5
4,53,5,2,3.625,159.5
4,54,5,2,3,106.625
4,55,5,2,3.125,100.375
4,56,4.375,2.375,2.25,126.875
4,57,5,2,1.375,159.125
4,58,4.625,2,2.25,163.125
4,59,4.857142857142857,2,1.7142857142857142,146.28571428571428
4,60,4.875,2,2.5,157.25
4,61,4.5,2,2.125,117.75
5,1,4.428571428571429,2.2857142857142856,2.75,110.25
5,2,4.571428571428571,1.8571428571428572,1.7142857142857142,155.42857142857142
5,3,4.375,2.625,2.25,127.625
5,4,4.75,2,2.125,132.5
5,5,4.625,2.25,1.375,171.375
5,6,5,2,2,176.5
5,7,5,2,1.125,167.25
5,8,5,2,1,184.125
5,9,5,2,1.25,173.5
5,10,5,2,1.5,180.375
5,11,5,2.25,1.75,171.375
5,12,5,2,1.875,144.375
5,13,5,2,3.625,156.875
5,14,5,2.142857142857143,2.4285714285714284,146.71428571428572
5,15,5,2,2,158.875
5,16,5,2.375,2.5,191.75
5,17,5,2,1.375,155.5
5,18,4.875,1.875,2.125,154.375
5,19,5,2,3,155.75
5,20,5,2.375,1.625,152.25
5,21,4.875,2.25,2,188.625
5,22,5,2,1.625,182.5
5,23,4.875,2,2.375,141.375
5,24,5,1.875,1.375,177.625
5,25,5,2,1.25,180.5
5,26,5,2,2.125,173.75
5,27,5,2.125,2.375,182
5,28,5,2.125,2.75,133.375
5,29,5,1.875,2.25,140.125
5,30,5,2,1.5,176.125
5,31,5,2,1.875,141.625
5,32,5,2,1.625,173.625
5,33,4.75,2.25,1.875,165.875
5,34,4.833333333333333,2,2,151.33333333333334
5,35,5,2,1.875,173.625
5,36,4.875,2,1.625,133.75
5,37,4.875,2.25,1.875,154.875
5,38,5,2,2.25,171.125
5,39,4.5,2.625,2.5,147.5
5,40,5,2,2.5,142
5,41,5,2,2.5,130.75
5,42,4.875,2,2.375,168.625
5,43,5,2,3,119.25
5,44,3.75,2.125,2.25,97.75
5,45,5,2,2,159.25
5,46,4.875,2,3.125,117.5
5,47,5,2,2.625,132
5,48,5,2,2.75,114.25
5,49,4.75,2,3.5,120.875
5,50,5,2,2.75,114.375
5,51,4.5,2,1.875,146.875
5,52,4.625,2.25,3,103.875
5,53,4.625,2,2.75,114
5,54,5,2,2.375,149.875
5,55,5,2.25,2.5,150.625
5,56,4.75,2,1.5,125.375
5,57,4.625,2,2.125,153.125
5,58,5,2,2.25,150.875
5,59,5,2.125,2.75,159.5
5,60,5,2,1.75,163.75
5,61,4.625,1.875,1.75,160.875
6,1,4.375,2.375,2.5,142
6,2,3.75,2.625,2.375,167.125
6,3,4.625,2.125,1.375,157.875
6,4,3.5714285714285716,2.5714285714285716,2.2857142857142856,122.85714285714286
6,5,4.875,2.5,1.875,150.875
6,6,4.75,2,2.25,130.875
6,7,4.625,2.25,1.375,162.875
6,8,5,1.875,1.375,176.5
6,9,5,2.5,2.375,187.125
6,10,5,2.125,1.25,167.5
6,11,5,2,2.375,130.625
6,12,4.428571428571429,2,2.3333333333333335,150.33333333333334
6,13,5,2,2,188.875
6,14,5,2.125,2.125,179.5
6,15,5,2.25,2,185.375
6,16,4.285714285714286,1.8571428571428572,2.142857142857143,150.125
6,17,5,2,2.5,141.125
6,18,4.875,2.25,2.125,143.5
6,19,5,2,3.25,144.375
6,20,5,2.25,3.125,130.25
6,21,4.625,1.875,2.375,156.75
6,22,5,2.375,2.5,180.25
6,23,5,2.125,2.875,150.875
6,24,5,2.25,1.875,189.125
6,25,5,2.125,2,169.25
6,26,4.5,2.125,2.875,146.28571428571428
6,27,5,2,2.75,176.125
6,28,5,2,3,120.875
6,29,5,2,2.5,135
6,30,4.625,2,1.875,167.75
6,31,4.75,2,1.625,159.25
6,32,5,2,2.375,149.875
6,33,4.875,2,2,139.125
6,34,5,2,2.875,149.875
6,35,5,2.125,2.125,182.625
6,36,5,2,1.375,146.5
6,37,4.875,2.125,2,165.75
6,38,5,2.125,2.25,127.75
6,39,5,2,1.375,128.625
6,40,4.625,2.125,2.75,171.625
6,41,4.5,1.875,2,167.75
6,42,4.875,2,2.25,168.75
6,43,4.625,1.875,2.25,149.375
6,44,5,2,1.375,155.5
6,45,5,2,2.5,125
6,46,5,2,1.75,152.25
6,47,5,2,1.875,161.625
6,48,5,2,2.875,124.625
6,49,4.875,2,2.875,127.25
6,50,4.875,2,2.125,162
6,51,4.875,2,1.375,146.75
6,52,4.625,2,1.875,157.5
6,53,4.75,2,1.625,145.875
6,54,5,2,2.125,119.25
6,55,5,2,1.875,143.5
6,56,4.75,2,1.75,158.875
6,57,5,2.25,2.625,169.125
6,58,5,2,1.625,175.375
6,59,5,2,2.375,165.5
6,60,5,2,1.625,151.5
6,61,4.5,1.875,1.625,140.625
7,1,4.5,2.375,2.5,153.75
7,2,4.75,2.125,1.375,153
