blk,old_plant_no,ecotype,rep,row,rng,hs
MUB,21,UL,3,21,7,66
PUB,40,UL,3,21,8,40
MLB,35,LL,3,21,9,170
MLB,7,LL,4,21,10,142
PLB,36,LL,4,21,11,126
MUB,22,UL,4,21,12,67
PLB,4,LL,1,22,1,94
MUB,27,UL,1,22,2,72
MLB,17,LL,1,22,3,152
MLB,19,LL,2,22,4,154
MLB,1,LL,2,22,5,136
PLB,32,LL,2,22,6,122
MLB,2,LL,3,22,7,137
MUB,28,UL,3,22,8,73
MLB,21,LL,3,22,9,156
MUB,20,UL,4,22,10,65
NA,NA,LL,4,22,11,CHECK_Kan
NA,NA,UL,4,22,12,CHECK_CiR
PLB,24,LL,1,23,1,114
PUB,43,UL,1,23,2,43
PLB,18,LL,1,23,3,108
MUB,41,UL,2,23,4,86
PUB,45,UL,2,23,5,45
PUB,17,UL,2,23,6,17
MUB,17,UL,3,23,7,62
PUB,35,UL,3,23,8,35
PLB,16,LL,3,23,9,106
PUB,26,UL,4,23,10,26
MLB,44,LL,4,23,11,179
MLB,34,LL,4,23,12,169
PLB,33,LL,1,24,1,123
MUB,24,UL,1,24,2,69
PUB,22,UL,1,24,3,22
MUB,22,UL,2,24,4,67
MLB,37,LL,2,24,5,172
MLB,32,LL,2,24,6,167
PLB,22,LL,3,24,7,112
MLB,13,LL,3,24,8,148
MUB,6,UL,3,24,9,51
MLB,22,LL,4,24,10,157
PUB,37,UL,4,24,11,37
PUB,3,UL,4,24,12,3
MUB,2,UL,1,25,1,47
PUB,14,UL,1,25,2,14
PUB,38,UL,1,25,3,38
MLB,44,LL,2,25,4,179
MUB,34,UL,2,25,5,79
PLB,42,LL,2,25,6,132
MUB,32,UL,3,25,7,77
PUB,17,UL,3,25,8,17
MUB,36,UL,3,25,9,81
PLB,3,LL,4,25,10,93
MUB,1,UL,4,25,11,46
PUB,10,UL,4,25,12,10
PLB,44,LL,1,26,1,134
PLB,10,LL,1,26,2,100
PUB,33,UL,1,26,3,33
PLB,39,LL,2,26,4,129
PLB,28,LL,2,26,5,118
MUB,8,UL,2,26,6,53
PUB,36,UL,3,26,7,36
MLB,17,LL,3,26,8,152
PUB,38,UL,3,26,9,38
PUB,25,UL,4,26,10,25
MUB,44,UL,4,26,11,89
PLB,14,LL,4,26,12,104
PLB,21,LL,1,27,1,111
PLB,16,LL,1,27,2,106
MLB,2,LL,1,27,3,137
MUB,26,UL,2,27,4,71
MLB,10,LL,2,27,5,145
MLB,11,LL,2,27,6,146
MUB,8,UL,3,27,7,53
PLB,12,LL,3,27,8,102
PLB,36,LL,3,27,9,126
PUB,4,UL,4,27,10,4
PUB,23,UL,4,27,11,23
MUB,38,UL,4,27,12,83
MLB,45,LL,1,28,1,180
PLB,29,LL,1,28,2,119
MLB,16,LL,1,28,3,151
MUB,20,UL,2,28,4,65
PUB,35,UL,2,28,5,35
PUB,20,UL,2,28,6,20
MLB,45,LL,3,28,7,180
MLB,9,LL,3,28,8,144
PLB,1,LL,3,28,9,91
MLB,10,LL,4,28,10,145
PLB,6,LL,4,28,11,96
PLB,25,LL,4,28,12,115
MUB,18,UL,1,29,1,63
PUB,21,UL,1,29,2,21
MLB,34,LL,1,29,3,169
PLB,9,LL,2,29,4,99
MUB,12,UL,2,29,5,57
PUB,44,UL,2,29,6,44
PUB,30,UL,3,29,7,30
PLB,2,LL,3,29,8,92
MUB,22,UL,3,29,9,67
PLB,31,LL,4,29,10,121
PUB,7,UL,4,29,11,7
PUB,14,UL,4,29,12,14
MLB,21,LL,1,30,1,156
PLB,31,LL,1,30,2,121
PLB,39,LL,1,30,3,129
PUB,15,UL,2,30,4,15
MLB,24,LL,2,30,5,159
PLB,25,LL,2,30,6,115
MLB,14,LL,3,30,7,149
NA,NA,UL,3,30,8,CHECK_Carth
PLB,35,LL,3,30,9,125
MLB,42,LL,4,30,10,177
MLB,32,LL,4,30,11,167
MLB,28,LL,4,30,12,163
MUB,45,UL,1,31,1,90
MLB,43,LL,1,31,2,178
PLB,22,LL,1,31,3,112
MUB,38,UL,2,31,4,83
MUB,45,UL,2,31,5,90
MUB,33,UL,2,31,6,78
MLB,39,LL,3,31,7,174
PLB,3,LL,3,31,8,93
MUB,19,UL,3,31,9,64
PUB,33,UL,4,31,10,33
MUB,13,UL,4,31,11,58
MLB,8,LL,4,31,12,143
PLB,35,LL,1,32,1,125
MLB,37,LL,1,32,2,172
PLB,13,LL,1,32,3,103
PLB,26,LL,2,32,4,116
MUB,19,UL,2,32,5,64
PUB,29,UL,2,32,6,29
PUB,9,UL,3,32,7,9
PUB,4,UL,3,32,8,4
MLB,5,LL,3,32,9,140
MUB,31,UL,4,32,10,76
PLB,35,LL,4,32,11,125
MUB,10,UL,4,32,12,55
MUB,33,UL,1,33,1,78
PLB,42,LL,1,33,2,132
PUB,12,UL,1,33,3,12
MLB,28,LL,2,33,4,163
MLB,27,LL,2,33,5,162
MUB,25,UL,2,33,6,70
PUB,7,UL,3,33,7,7
PLB,7,LL,3,33,8,97
PLB,15,LL,3,33,9,105
PLB,41,LL,4,33,10,131
PLB,11,LL,4,33,11,101
PUB,12,UL,4,33,12,12
PLB,27,LL,1,34,1,117
MUB,16,UL,1,34,2,61
MUB,14,UL,1,34,3,59
MUB,13,UL,2,34,4,58
MLB,18,LL,2,34,5,153
PUB,40,UL,2,34,6,40
MUB,9,UL,3,34,7,54
PUB,43,UL,3,34,8,43
PLB,6,LL,3,34,9,96
MLB,12,LL,4,34,10,147
MUB,41,UL,4,34,11,86
NA,NA,UL,4,34,12,CHECK_Carth
PLB,6,LL,1,35,1,96
MUB,31,UL,1,35,2,76
PUB,11,UL,1,35,3,11
PUB,25,UL,2,35,4,25
PLB,4,LL,2,35,5,94
PLB,15,LL,2,35,6,105
MUB,44,UL,3,35,7,89
PUB,14,UL,3,35,8,14
PLB,28,LL,3,35,9,118
PLB,23,LL,4,35,10,113
PUB,8,UL,4,35,11,8
MLB,41,LL,4,35,12,176
MLB,18,LL,1,36,1,153
MUB,36,UL,1,36,2,81
PUB,25,UL,1,36,3,25
PUB,14,UL,2,36,4,14
MUB,15,UL,2,36,5,60
PUB,42,UL,2,36,6,42
PUB,26,UL,3,36,7,26
MLB,10,LL,3,36,8,145
MLB,29,LL,3,36,9,164
PUB,5,UL,4,36,10,5
PLB,37,LL,4,36,11,127
PUB,19,UL,4,36,12,19
MUB,35,UL,1,37,1,80
MLB,41,LL,1,37,2,176
MUB,41,UL,1,37,3,86
PLB,31,LL,2,37,4,121
PLB,19,LL,2,37,5,109
PLB,35,LL,2,37,6,125
PUB,42,UL,3,37,7,42
MUB,38,UL,3,37,8,83
MLB,26,LL,3,37,9,161
MUB,14,UL,4,37,10,59
MLB,17,LL,4,37,11,152
MLB,27,LL,4,37,12,162
PUB,8,UL,1,38,1,8
MUB,3,UL,1,38,2,48
PUB,32,UL,1,38,3,32
MUB,32,UL,2,38,4,77
PLB,2,LL,2,38,5,92
PUB,16,UL,2,38,6,16
PUB,44,UL,3,38,7,44
PLB,43,LL,3,38,8,133
PLB,39,LL,3,38,9,129
PLB,20,LL,4,38,10,110
MLB,2,LL,4,38,11,137
MUB,40,UL,4,38,12,85
MLB,38,LL,1,39,1,173
MUB,26,UL,1,39,2,71
MLB,24,LL,1,39,3,159
MLB,6,LL,2,39,4,141
MLB,25,LL,2,39,5,160
MUB,24,UL,2,39,6,69
MUB,24,UL,3,39,7,69
MLB,40,LL,3,39,8,175
MUB,20,UL,3,39,9,65
MLB,36,LL,4,39,10,171
PUB,1,UL,4,39,11,1
MUB,17,UL,4,39,12,62
PLB,11,LL,1,40,1,101
PLB,17,LL,1,40,2,107
PUB,9,UL,1,40,3,9
PLB,16,LL,2,40,4,106
MUB,31,UL,2,40,5,76
PLB,10,LL,2,40,6,100
PUB,2,UL,3,40,7,2
MLB,3,LL,3,40,8,138
PLB,25,LL,3,40,9,115
PUB,31,UL,4,40,10,31
MUB,33,UL,4,40,11,78
PLB,24,LL,4,40,12,114
PUB,7,UL,1,41,1,7
NA,NA,UL,1,41,2,CHECK_CiR
MLB,12,LL,1,41,3,147
PUB,19,UL,2,41,4,19
MUB,18,UL,2,41,5,63
PLB,11,LL,2,41,6,101
PUB,45,UL,3,41,7,45
MUB,40,UL,3,41,8,85
MUB,37,UL,3,41,9,82
MLB,37,LL,4,41,10,172
PLB,5,LL,4,41,11,95
MLB,35,LL,4,41,12,170
PUB,24,UL,1,42,1,24
